Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,18,Right-Handed,180,30,187,1,Car,14,0.422,38,Basketball,500,900,900,600,500,1000,30,Same length,74,74,Same length,January,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,18,Right-Handed,160,9.25,34.59,2,Car,12,0.439,57,Basketball,1000,449,257,647,455,1000,9.22,Right foot,53,46,Ring finger,December,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2016,12,Male,17,Right-Handed,172.7,27,181.6,1,Walk,3,0.281,45,Football (American),299,444,524,353,604,1000,27,Same length,78,80,Same length,November,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,17,Right-Handed,180,,,1,Car,15,0.448,49,Rowing,834,492,353,818,631,963,,Right foot,,,Ring finger,January,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2019,12,Female,17,Right-Handed,162,25,159,2,Car,20,0.583,37,Swimming,1000,800,800,900,800,1000,25,Same length,74,74,Same length,February,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Male,17,Left-Handed,179,24.5,178,1,Car,10,0.326,52,Gymnastics,1000,1000,700,700,950,950,25,Left foot,7.5,7.5,Ring finger,June,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,17,Left-Handed,188,27,188,2,Bus,10,0.308,38,Baseball/Softball,829,829,390,794,450,431,27,Same length,83,76,Index finger,April,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2018,12,Male,17,Right-Handed,182.8,30.48,180,2,Car,12,6,15,Basketball,1000,1000,1000,1000,500,900,30.4,Same length,3.8,3.2,Index finger,December,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,16,Right-Handed,167,26,,3,Bus,38,,0.521,Tennis,636,818,898,947,775,775,25,Right foot,8.2,7.6,Index finger,May,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,17,Right-Handed,172,27,173,1,Car,18,0.294,39,Baseball/Softball,800,700,700,850,600,900,27,Same length,84,88,Ring finger,July,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,17,Right-Handed,170,25,168,1,Car,5,0.383,33,Basketball,300,300,400,400,500,700,25,Same length,69,75,Ring finger,October,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,17,Right-Handed,177.8,27.94,172.7,1,Car,20,0.825,56,Walking/Hiking,1000,1000,1000,1000,1000,1000,27,Right foot,88.9,76.2,Index finger,January,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Male,18,Right-Handed,187,34,186,1,Car,12,0.6,7,Football (American),0,0,0,0,0,0,34,Same length,96,93,Same length,September,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2016,12,Male,17,Right-Handed,173,27,170,1,Car,15,0.546,49,Lacrosse,100,100,100,100,1000,1000,27,Same length,80,70,Index finger,April,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Male,17,Ambidextrous,5'6,25,170,1,Car,10,0.394,70,None,1,1,1,1,0.481,1,25,Same length,91.44,78.23,Index finger,January,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,16,Right-Handed,170,23.5,180,1,Car,20,0.345,33,Basketball,,,,,,,23.5,Same length,,,Index finger,May,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,17,Right-Handed,180,,165,2,Car,10,0.4,55,Basketball,80,80,90,70,50,70,,,,,Same length,October,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,16,Right-Handed,163,23.5,152,1,Car,10,0.435,36,Swimming,850,503,364,674,668,765,25,Left foot,80,80,Same length,October,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,17,Right-Handed,155,23,,2,Car,20,0.463,41,Soccer,1000,1000,1000,1000,1000,1000,,Right foot,,,Ring finger,October,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,17,Right-Handed,179,26.6,160,1,Car,13,0.356,26.6,Gymnastics,,,,,,,,Right foot,8,8,Same length,June,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,17,Right-Handed,173,27,176,2,Car,13,2.78,47,Table Tennis,1000,936,973,957,877,888,128,Left foot,79,85,Ring finger,April,Spring,,,,,,,,,,,,,,,,,,
